date,min,max,median,q1,q3,stdev,count
2020-02-21T00:00:00.000Z,0.5,98.23,2.52,1.83,5.25,6.106,377
2020-02-22T00:00:00.000Z,0.3,2.72,0.9,0.6,1.38,0.471,445
2020-02-23T00:00:00.000Z,0.4,3.22,1,0.75,1.34,0.478,447
2020-02-24T00:00:00.000Z,0.42,7.6,1.23,0.88,2.35,0.975,527
2020-02-25T00:00:00.000Z,0.5,6,1.45,1.03,1.85,0.665,465
2020-02-26T00:00:00.000Z,0.4,1.82,0.75,0.64,0.95,0.244,408
2020-02-27T00:00:00.000Z,0.45,4.84,1.28,0.95,1.72,0.574,553
2020-02-28T00:00:00.000Z,0.65,4.09,1.4,1.2,1.95,0.577,561
2020-02-29T00:00:00.000Z,1.13,11.16,2.76,1.99,5.39,2.344,575
2020-03-01T00:00:00.000Z,0.8,13.61,2.16,1.74,2.66,2.499,568
2020-03-02T00:00:00.000Z,1.3,6.3,2.74,2.2,3.49,0.999,414
2020-03-03T00:00:00.000Z,2.22,28.98,6.68,5.26,8.73,4.935,393
2020-03-04T00:00:00.000Z,0.4,22.24,1.45,0.95,2.19,3.71,555
2020-03-05T00:00:00.000Z,0.7,5,1.9,1.42,2.34,0.791,460
2020-03-06T00:00:00.000Z,0.63,5,2.18,1.65,2.58,0.854,543
2020-03-07T00:00:00.000Z,3.8,21.32,7.28,5.74,13.71,4.724,582
2020-03-08T00:00:00.000Z,3.23,19.87,10.34,7.86,14.06,4.159,580
2020-03-09T00:00:00.000Z,1.77,21.18,6.88,4.36,9.46,3.854,377
2020-03-10T00:00:00.000Z,1.18,21.95,6.04,4.08,12.14,5.038,428
2020-03-11T00:00:00.000Z,0.35,4.78,2.58,1.7,3.35,1.085,394
2020-03-12T00:00:00.000Z,0.6,6.05,1.53,1.1,2.13,0.702,450
2020-03-13T00:00:00.000Z,0.4,1.65,0.9,0.75,1.03,0.228,418
2020-03-14T00:00:00.000Z,0.42,3.62,0.74,0.64,1.56,0.757,438
2020-03-15T00:00:00.000Z,1.77,5.52,3.25,2.77,3.82,0.777,290
2020-03-16T00:00:00.000Z,0.55,7.58,1.9,1.05,5.22,2.168,581
2020-03-17T00:00:00.000Z,0.82,4.13,1.88,1.52,2.59,0.694,578
2020-03-18T00:00:00.000Z,0.4,3.85,1.65,1.09,2.8,0.94,509
2020-03-19T00:00:00.000Z,0.44,2.75,1.25,1.01,1.63,0.42,560
2020-03-20T00:00:00.000Z,0.4,4.01,1.34,1.05,1.83,0.675,456
2020-03-21T00:00:00.000Z,0.5,2.8,0.94,0.76,1.17,0.345,493
2020-03-22T00:00:00.000Z,0.55,2.16,1.2,0.97,1.45,0.315,480
2020-03-23T00:00:00.000Z,0.5,4.38,1.32,1.1,1.55,0.404,456
2020-03-24T00:00:00.000Z,1.17,9.68,2.24,1.96,2.61,0.647,462
2020-03-25T00:00:00.000Z,1.5,5.86,3.31,2.95,3.88,0.769,456
2020-03-26T00:00:00.000Z,3.1,11.28,6.46,5.6,8.42,1.952,451
2020-03-27T00:00:00.000Z,4.84,11.28,7.67,6.72,9.55,1.604,351
2020-03-28T00:00:00.000Z,0.6,1.8,1,0.85,1.12,0.223,126
2020-03-29T00:00:00.000Z,0.5,2.85,0.82,0.73,0.95,0.372,220
2020-03-30T00:00:00.000Z,0.6,1.3,0.9,0.83,1,0.126,141
2020-03-31T00:00:00.000Z,0.5,5.13,1.12,0.97,1.4,0.42,322
2020-04-01T00:00:00.000Z,0.63,2.4,1.23,1,1.46,0.33,182
2020-04-02T00:00:00.000Z,0.4,5.33,1.62,1.17,2.12,0.701,404
2020-04-03T00:00:00.000Z,0.4,2.25,0.79,0.67,1,0.315,360
2020-04-04T00:00:00.000Z,0.46,3.48,1.02,0.84,1.32,0.487,513
2020-04-05T00:00:00.000Z,0.76,7.5,1.37,1.1,2.14,1.366,445
2020-04-06T00:00:00.000Z,2.49,9.84,4.53,3.52,5.14,1.527,311
2020-04-07T00:00:00.000Z,1.36,17.14,8.86,2.43,10.43,4.215,343
2020-04-08T00:00:00.000Z,1.7,6.32,2.9,2.58,3.24,0.547,392
2020-04-09T00:00:00.000Z,0.4,3.66,1.14,0.84,1.65,0.755,328
2020-04-10T00:00:00.000Z,0.36,1.06,0.6,0.52,0.69,0.126,192
2020-04-12T00:00:00.000Z,0.35,10.88,1.87,1.3,7.1,3.435,103
2020-04-13T00:00:00.000Z,0.4,1.35,0.84,0.71,0.95,0.162,428
2020-04-14T00:00:00.000Z,0.4,1.88,0.92,0.66,1.12,0.3,537
2020-04-15T00:00:00.000Z,0.46,5.32,0.9,0.73,1.2,0.544,522
2020-04-16T00:00:00.000Z,0.32,9.67,0.72,0.6,0.93,0.562,519
2020-04-17T00:00:00.000Z,0.4,2.17,0.78,0.65,0.92,0.236,527
2020-04-18T00:00:00.000Z,0.36,1.67,0.96,0.73,1.12,0.277,588
2020-04-19T00:00:00.000Z,0.43,7,0.9,0.68,1.5,0.734,566
2020-04-20T00:00:00.000Z,0.57,3.65,1.18,1,1.42,0.423,502
2020-04-21T00:00:00.000Z,0.62,4.93,1.12,0.92,1.3,0.426,340
2020-04-22T00:00:00.000Z,0.52,3.45,1.1,0.97,1.23,0.316,309
2020-04-23T00:00:00.000Z,0.55,2.68,1.14,0.97,1.35,0.315,483
2020-04-24T00:00:00.000Z,0.33,4.92,0.62,0.5,0.9,0.379,549
2020-04-25T00:00:00.000Z,0.3,1.68,0.65,0.55,0.8,0.229,515
2020-04-26T00:00:00.000Z,0.34,4.62,1.04,0.8,1.51,0.542,546
2020-04-27T00:00:00.000Z,0.7,3.75,1.45,1.22,1.97,0.556,510
2020-04-28T00:00:00.000Z,0.64,5.82,1.25,1.05,1.62,0.496,401
2020-04-29T00:00:00.000Z,0.97,14.37,1.76,1.46,2.4,1.078,499
2020-04-30T00:00:00.000Z,1.3,9.43,3.32,2.54,4.55,1.808,483
2020-05-01T00:00:00.000Z,2.37,15.84,5.87,4.25,10.88,3.817,554
2020-05-02T00:00:00.000Z,0.48,12.63,1.51,0.9,2.42,2.723,540
2020-05-03T00:00:00.000Z,0.45,3.25,1.63,0.86,2.35,0.776,572
2020-05-04T00:00:00.000Z,0.56,4.9,1.23,0.99,1.87,1.049,538
2020-05-05T00:00:00.000Z,0.55,12.02,1.19,0.92,1.4,0.825,497
