date,min,max,median,q1,q3,stdev,count
2020-09-18T00:00:00.000Z,0.2,2.9,1.1,0.8,1.3,0.431,326
2020-09-19T00:00:00.000Z,0.33,4,1.07,0.83,1.4,0.653,310
2020-09-20T00:00:00.000Z,0.7,3.1,1.8,1.43,2.17,0.484,243
2020-09-21T00:00:00.000Z,1.4,10.57,2.42,2,3.1,0.845,216
2020-09-22T00:00:00.000Z,1,13.63,1.93,1.6,3.77,3.777,337
2020-09-23T00:00:00.000Z,3.97,41.13,10.52,6.1,13.9,9.103,446
2020-09-24T00:00:00.000Z,5.43,55.43,18.17,10.02,26.43,12.201,465
2020-09-25T00:00:00.000Z,1.53,19.27,4.59,3.13,5.63,2.747,347
2020-09-26T00:00:00.000Z,8.3,43.8,16.07,14.29,17.77,3.48,281
2020-09-27T00:00:00.000Z,5.5,24.17,15.75,10.87,20.57,5.413,230
2020-09-28T00:00:00.000Z,5.53,23.3,11.23,7,16.63,5.076,273
2020-09-29T00:00:00.000Z,1.33,18.03,5.09,3.37,9.02,3.358,254
2020-09-30T00:00:00.000Z,1.4,21.3,10.27,5,12.52,4.307,360
2020-10-01T00:00:00.000Z,3.43,21.9,9.17,5.3,10.42,3.032,301
2020-10-02T00:00:00.000Z,7.07,19.8,14.63,11.95,16.2,2.873,285
2020-10-03T00:00:00.000Z,8.1,24.53,15.67,11.42,19.02,4.625,261
2020-10-04T00:00:00.000Z,9.47,33.22,19.87,16.87,23.27,5.372,293
2020-10-05T00:00:00.000Z,0.6,16.32,3.1,1.27,6.25,3.535,316
2020-10-06T00:00:00.000Z,1.7,32.93,4.57,3.23,11.63,9.562,312
2020-10-07T00:00:00.000Z,1.3,7.9,3.2,2.43,4.03,1.114,333
2020-10-08T00:00:00.000Z,0.9,18.63,2,1.53,3.33,1.846,311
2020-10-09T00:00:00.000Z,0.4,7.93,1.3,1,1.9,1.317,360
2020-10-10T00:00:00.000Z,0.4,21.57,2.2,1.57,3.13,1.697,423
2020-10-11T00:00:00.000Z,0.4,4.83,1.1,0.83,1.37,0.5,435
2020-10-12T00:00:00.000Z,0,4.93,0.47,0.3,0.6,0.413,322
2020-10-13T00:00:00.000Z,0.13,20.8,0.8,0.6,1.1,1.155,405
2020-10-14T00:00:00.000Z,0.2,6.27,0.67,0.5,0.87,0.483,403
2020-10-15T00:00:00.000Z,0.23,19.3,0.8,0.6,1.12,1.228,414
2020-10-16T00:00:00.000Z,0.17,35.43,0.9,0.53,2.33,2.147,430
2020-10-17T00:00:00.000Z,0.1,8.86,0.6,0.5,0.8,0.486,440
2020-10-18T00:00:00.000Z,0,4.09,0.37,0.23,0.5,0.253,451
2020-10-19T00:00:00.000Z,0.03,25.87,0.5,0.3,0.7,1.298,428
2020-10-20T00:00:00.000Z,0.37,14.13,1.59,0.9,2.4,2.548,292
2020-10-21T00:00:00.000Z,7.4,29.53,17.57,14.93,19.87,4.006,347
2020-10-22T00:00:00.000Z,0.2,18.17,2.13,1.27,6.07,4.18,414
2020-10-23T00:00:00.000Z,0.07,23.53,1.47,0.8,2.25,1.505,413
2020-10-24T00:00:00.000Z,0.73,52.9,2.52,2.1,3.2,2.574,444
2020-10-25T00:00:00.000Z,0.33,13.77,5.73,2.73,7.57,3.047,478
2020-10-26T00:00:00.000Z,1.27,39.4,6.97,3.6,17.63,10.392,466
2020-10-27T00:00:00.000Z,1.2,35.13,3.85,2.5,6.17,9.376,406
2020-10-28T00:00:00.000Z,2.02,22.27,3.8,3.07,5.4,2,451
2020-10-29T00:00:00.000Z,2.63,19.73,6.32,4.8,7.73,2.425,358
2020-10-30T00:00:00.000Z,4.4,34.77,6.95,6.23,8.07,4.484,50
2020-10-31T00:00:00.000Z,2.1,9.5,4.4,3.33,5.63,1.672,297
2020-11-01T00:00:00.000Z,0.9,19.1,7.5,2.77,13.07,5.345,490
2020-11-02T00:00:00.000Z,0.3,20.53,4.17,1.83,7.45,5.064,460
2020-11-03T00:00:00.000Z,0.3,7.37,1.47,1.2,1.83,0.59,399
2020-11-04T00:00:00.000Z,1,6.7,2.33,1.87,2.83,0.805,349
2020-11-05T00:00:00.000Z,0.3,2.9,1.2,0.83,1.5,0.447,347
2020-11-06T00:00:00.000Z,0.23,5.53,0.9,0.67,1.3,0.556,347
2020-11-07T00:00:00.000Z,0.6,8.36,2,1.27,3,1.391,371
2020-11-08T00:00:00.000Z,0.5,5.8,1.77,1.1,2.6,1.096,360
2020-11-09T00:00:00.000Z,0.9,7.27,2.29,1.67,3.23,1.483,291
2020-11-10T00:00:00.000Z,1.87,9.69,3.85,3.37,4.59,1.52,336
2020-11-11T00:00:00.000Z,2.33,19.39,6.4,3.6,8.5,2.926,251
2020-11-12T00:00:00.000Z,12.25,42.97,23.12,17.43,25.85,4.778,192
2020-11-13T00:00:00.000Z,5.47,20.1,11,8.93,13.43,3.032,295
2020-11-14T00:00:00.000Z,2.77,20.2,8.33,6.5,10.3,3.682,323
2020-11-15T00:00:00.000Z,7.03,42.7,15,10.67,22.83,9.028,286
2020-11-16T00:00:00.000Z,3.63,36.9,18.38,16.95,30.14,8.312,212
2020-11-17T00:00:00.000Z,0.5,4.37,1.63,1.3,2,0.62,146
2020-11-18T00:00:00.000Z,0.1,3.2,1.4,0.7,2,0.763,239
2020-11-19T00:00:00.000Z,0,5.53,1,0.32,2.99,1.436,237
2020-11-20T00:00:00.000Z,0.17,2.47,0.56,0.4,0.77,0.336,276
2020-11-21T00:00:00.000Z,0.2,1.77,0.7,0.5,1.1,0.363,137
2020-11-22T00:00:00.000Z,0.2,3.1,1.34,0.5,1.83,0.766,66
2020-11-23T00:00:00.000Z,0.1,5.97,0.47,0.37,0.6,0.449,255
2020-11-24T00:00:00.000Z,0.2,9.4,2.35,0.82,3.49,1.942,284
2020-11-25T00:00:00.000Z,0.7,9.1,3.97,3,5.03,1.668,298
2020-11-26T00:00:00.000Z,0.7,39.29,6.02,1.9,9.19,4.693,286
2020-11-27T00:00:00.000Z,0.3,5.13,1.37,0.87,1.83,0.744,282
2020-11-28T00:00:00.000Z,0.83,5.27,2.2,1.6,3.23,0.998,283
2020-11-29T00:00:00.000Z,2.06,12.43,4,3.4,7.17,2.062,287
2020-11-30T00:00:00.000Z,1.67,13.8,5.35,3.99,7.9,2.552,260
2020-12-01T00:00:00.000Z,1.87,12.8,4.43,3.09,6.22,2.275,249
2020-12-02T00:00:00.000Z,0.8,33.22,7.5,6.1,9.67,3.743,282
2020-12-03T00:00:00.000Z,4.37,22.3,8.13,6.57,9.93,2.598,243
2020-12-04T00:00:00.000Z,0.73,14.5,5.57,3.37,8.93,3.279,267
2020-12-05T00:00:00.000Z,7.43,31.7,19.05,17.14,20.93,3.837,260
2020-12-06T00:00:00.000Z,9.8,29.63,19.39,14.13,23.15,4.889,345
2020-12-07T00:00:00.000Z,2.8,18.43,5.47,4.59,10.61,4.38,293
2020-12-08T00:00:00.000Z,3.97,11.77,6.7,6.02,7.7,1.394,285
2020-12-09T00:00:00.000Z,4.13,17.63,8.97,6.53,11.33,2.828,255
2020-12-10T00:00:00.000Z,4.13,18.67,9.9,7.2,11.7,2.603,266
2020-12-11T00:00:00.000Z,2.63,21.8,8.61,7.4,15.33,4.781,316
2020-12-12T00:00:00.000Z,5.09,19.77,11.72,8.93,13.99,3.336,316
2020-12-13T00:00:00.000Z,1.8,22.77,6.93,4.67,16.73,6.048,303
2020-12-14T00:00:00.000Z,2.93,10.9,5.03,4.59,5.75,1.332,289
2020-12-15T00:00:00.000Z,4.4,106.3,10.11,7.83,12.9,6.539,306
2020-12-16T00:00:00.000Z,0.43,14.1,2.12,1.1,3.97,3.281,312
